name;id;popularity
Taylor Swift;06HL4z0CvFAxyc27GXpf02;100
Bad Bunny;4q3ewBCX7sLwd24euuV69X;97
Drake;3TVXtAsR1Inumwj472S9r4;97
The Weeknd;1Xyo4u8uXC1ZmMpatF05PJ;97
Feid;2LRoIwlKmHjgvigdNGBHNo;93
21 Savage;1URnnhqYAYcrqrcwql10ft;92
Eminem;7dGJo4pcD2V6oG8kP0tJRR;92
Karol G;790FomKkXshlbRYZFtlgla;92
Morgan Wallen;4oUHIQIBe0LHzYfvXNW4QM;92
SZA;7tYKF4w9nC0nq9CsPZTHyP;92
Ariana Grande;66CXWjxzNUsdJxJ2JdwvnR;91
BTS;3Nrfpe0tUJi4K4DXYWgMUX;91
Ed Sheeran;6eUKZXaKkcviH0Ku9w2n3V;91
Kanye West;5K4W6rqBFWDnAN6FQUkS6x;91
Lana Del Rey;00FQb4jTyendYWaN8pK0wa;91
Rihanna;5pKCCKE2ajJHZ9KAiaK11H;91
Shakira;0EmeFodog0BfCgMzAIvKQp;91
Future;1RyvyyTE3xzB2ZywiAwp0i;90
Justin Bieber;1uNFoZAHBGtllmzznpCI3s;90
Metro Boomin;0iEtIxbK0KxaSlF7G42ZOp;90
Miley Cyrus;5YGY8feqx7naU7z4HrwZM6;90
Rauw Alejandro;1mcTU81TzQhprhouKaTkpq;90
Travis Scott;0Y5tJX1MQlPlqiwlOH1tJY;90
Anuel Aa;2R21vXR83lH98kGeO99Y66;89
Arijit Singh;4YRxDV8wJFPHPTeXepOstw;89
Billie Eilish;6qqNVTkY8uBg9cP3Jd7DAH;89
Coldplay;4gzpq5DPGxSnKTe4SA8HAU;89
David Guetta;1Cs0zKBU1kc0i8ypK3B9ai;89
Harry Styles;6KImCVD70vtIoJWnq6nGn3;89
Imagine Dragons;53XhwfbYqKCa1cC15pYq2q;89
Kendrick Lamar;2YZyLoL8N0Wb9xBt1NhZWg;89
Lil Baby;5f7VJjfbwm532GiveGC0ZK;89
Ozuna;1i8SpTcr7yvPOmcqrbnVXY;89
Post Malone;246dkjvS1zLTtiykXe5h60;89
Tyler, The Creator;4V8LLVI7PbaPR0K2TGSxFF;89
Bruno Mars;0du5cEVh5yTK9QJze8zA0C;88
Chris Brown;7bXgB6jMjp9ATFy66eO08Z;88
Daddy Yankee;4VMYDCV2IEDYJArk749S6m;88
Dua Lipa;6M2wZ9GZgrQXHCFfjv46we;88
Myke Towers;7iK8PXO48WeuP03g8YR51W;88
Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;87
Beyoncé;6vWDO969PvNqNYHIOW5v0m;87
Calvin Harris;7CajNmpbOovFoOoasH2HaY;87
Doja Cat;5cj0lLjcoR7YOSnhnX0Po5;87
Eladio Carrion;5XJDexmWFLWOkjOEjOVX3e;87
J Balvin;1vyhD5VmyZ7KMfW5gqLgo5;87
J. Cole;6l3HvQ5sa6mXTsMTB19rO5;87
Lil Uzi Vert;4O15NlyKLIASxsJ0PrXPfz;87
Linkin Park;6XyY86QOPPrYVGvF9ch6wz;87
Nicki Minaj;0hCNtLu0JehylgoiP8L4Gh;87
Pritam;1wRPtKGflJrBx9BmLsSwlU;87
ROSALÍA;7ltDVBr6mKbRvohxheJ9h1;87
Sam Smith;2wY79sveU1sp5g7SokKOiI;87
XXXTENTACION;15UsOTVnJzReFVN1VCnxy4;87
$uicideBoy$;1VPmR4DJC1PlOtd0IADAO0;86
Adele;4dpARuHxo51G3z768sgnrY;86
Arcangel;4SsVbpTthjScTS7U2hmr1X;86
BLACKPINK;41MozSoPIsD1dJM0CLPjZF;86
Kali Uchis;1U1el3k54VvEUzo3ybLPlM;86
Khalid;6LuN9FCkKOj5PcnpouEgny;86
Lady Gaga;1HY2Jd0NmPuamShAr6KMms;86
Lil Wayne;55Aa2cqylxrFIXC767Z865;86
Luke Combs;718COspgdWOnwOFpJHRZHS;86
Maroon 5;04gDigrS5kc9YWfZHwBETP;86
Melanie Martinez;63yrD80RY3RNEM2YDpUpO8;86
One Direction;4AK6F7OLvEQ5QYCBNiQWHq;86
Selena Gomez;0C8ZW7ezQVs4URX5aX7Kqx;86
Frank Ocean;2h93pZq0e7k5yf4dywlkpM;85
JAY Z;3nFkdlSjzX9mRTtwJOzDYB;85
Katy Perry;6jJ0s89eD6GaHleKKya26X;85
Maluma;1r4hJ1h58CWwUQe3MxPuau;85
Manuel Turizo;0tmwSHipWxN12fsoLcFU3B;85
NF;6fOMl44jA4Sp5b9PpYCkzz;85
Queen;1dfeR4HaWDbWqFHLkxsg1d;85
Sia;5WUlDfRSoLAfcVSX1WnrxN;85
The Beatles;3WrFJ7ztbogyGnTHbHJFl2;85
Tiësto;2o5jDhtHVPhrJdv3cEQ99Z;85
Young Thug;50co4Is1HCEo8bhOyUWKpn;85
50 Cent;3q7HBObVc0L8jNeTe5Gofh;84
Duki;1bAftSH8umNcGZ0uyV7LMg;84
Elton John;3PhoLpVuITZKcymswpck5b;84
Farruko;329e4yvIujISKGKz1BZZbO;84
Gunna;2hlmm7s2ICUX0LVIhVFlZQ;84
Lil Peep;2kCcBybjl3SAtIcwdWpUe3;84
Mac Miller;4LLpKhyESsyAXpc4laK94U;84
Marshmello;64KEffDW9EtZ1y2vBYgq8T;84
Metallica;2ye2Wgw4gimLv2eAKyk1NB;84
NBA Youngboy;5nit4tEonTB3KHl6hWp1OP;84
Olivia Rodrigo;1McMsnEElThX1knmY4oliG;84
OneRepublic;5Pwc4xIPtQLFEnJriah9YJ;84
Romeo Santos;5lwmRuXgjX8xIwlnauTZIP;84
Shawn Mendes;7n2wHs1TKAczGzO7Dd2rGr;84
Snoop Dogg;7hJcb9fa4alzcOq3EaNPoG;84
The Neighbourhood;77SW9BnxLY8rJ0RciFqkHh;84
YoungBoy Never Broke Again;7wlFDEWiM5OoIAt8RSli8b;84
A$AP Rocky;13ubrt8QOOCPljQ2FL1Kca;83
Anirudh Ravichander;4zCH9qm4R2DADamUHMCa6O;83
Bebe Rexha;64M6ah0SkkRsnPGtGiRAbb;83
Brent Faiyaz;3tlXnStJ1fFhdScmQeLpuG;83
Charlie Puth;6VuMaDnrHyPL1p4EHjYLi7;83
Gorillaz;3AA28KZvwAUcZuOKwyblJQ;83
Halsey;26VFTg2z8YR0cCuwLzESi2;83
Joji;3MZsBdqDrRTJihTHQrO6Dq;83
Lewis Capaldi;4GNC7GD6oZMSxPGyXy4MNB;83
Lil Durk;3hcs9uc56yIGFCSy9leWe7;83
Luis Miguel;2nszmSgqreHSdJA3zWPyrW;83
Marília Mendonça;1yR65psqiazQpeM79CcGh8;83
Michael Jackson;3fMbdgg4jU18AjLCKBhRSm;83
Morat;5C4PDR4LnhZTbVnKWXuDKD;83
P!nk;1KCSPY1glIKqW2TotWuXOR;83
Pitbull;0TnOYISbd1XYRBk9myaseg;83
Playboi Carti;699OTQXzgjhIYAHMy9RyPD;83
Red Hot Chili Peppers;0L8ExT028jH3ddEcZwqJJ5;83
TINI;7vXDAI8JwjW531ouMGbfcp;83
Trippie Redd;6Xgp2XMz1fhVYe7i6yNAax;83
TWICE;7n2Ycct7Beij7Dj7meI4X0;83
Wiz Khalifa;137W8MRPWKqSmrBGDBFSop;83
A Boogie Wit da Hoodie;31W5EY0aAly4Qieq6OFu6I;82
AC/DC;711MCceyCBcFnzjGY4Q7Un;82
Avicii;1vCWHaC5f2uS3yhpwWbIA6;82
Camila Cabello;4nDoRrQiYLoBzwC5BhVJzF;82
Christian Nodal;0XwVARXT135rw8lyw1EeWP;82
Cigarettes After Sex;1QAJqy2dA3ihHBFIHRphZj;82
DaBaby;4r63FhuTkUYltbVAg5TQnk;82
Daft Punk;4tZwfgrHOc3mvqYlEYSvVi;82
Daniel Caesar;20wkVLutqVOYrc0kxFs7rA;82
Don Omar;33ScadVnbm2X8kkUqOkC6Z;82
Ellie Goulding;0X2BH1fck6amBIoJhDVmmJ;82
Fleetwood Mac;08GQAI4eElDnROBrJRGE0X;82
Henrique & Juliano;3p7PcrEHaaKLJnPUGOtRlT;82
Jorge & Mateus;1elUiq4X7pxej6FRlrEzjM;82
Kodak Black;46SHBwWsqBkxI7EeeBEQG7;82
Miguel;360IAlyVv4PCEVjgyMZrxK;82
Nengo Flow;12vb80Km0Ew53ABfJOepVz;82
Nirvana;6olE6TJLqED3rqDCT0FyPh;82
Rels B;2IMZYfNi21MGqxopj9fWx8;82
Sech;2cquAhD0Pl4KGCODyGHmq0;82
Steve Lacy;57vWImR43h4CaDao012Ofp;82
Ty Dolla $ign;7c0XG5cIJTrrAgEC3ULPiq;82
Yandel;0eHQ9o50hj6ZDNBt6Ys1sD;82
Måneskin;0lAWpj5szCSwM4rUMHYmrr;81
2Pac;1ZwdS5xdxEREPySFridCfh;81
A.R. Rahman;1mYsTxnqsietFxj1OgoGbG;81
ABBA;0LcJLqbBmaGUft1e9Mm8HV;81
Akon;0z4gvV4rjIZ9wHck67ucSV;81
Alan Walker;7vk5e3vY1uw9plTHJAMwjN;81
Ava Max;4npEfmQ6YuiwW1GpUmaq3F;81
Becky G;4obzFoKoKRHIphyHzJ35G3;81
Britney Spears;26dSoYclwsYLMAKD3tpOr4;81
Cardi B;4kYSro6naA4h99UJvo89HB;81
Cartel De Santa;07PdYoE4jVRF6Ut40GgVSP;81
Dr. Dre;6DPYiyq5kWVQS4RGwxzPC7;81
Fall Out Boy;4UXqAaa6dQYAk18Lv7PEgX;81
Grupo Firme;7DicScso20Bic7AwWBgRGd;81
Hozier;2FXC3k01G6Gw61bmprjgqS;81
James Arthur;4IWBUUAFIplrNtaOHcJPRM;81
Jul;3IW7ScrzXmPvZhB27hmfgy;81
Justin Quiles;14zUHaJZo1mnYtn6IBRaRP;81
Kid Cudi;0fA0VVWsXO9YnASrzqfmYu;81
Labrinth;2feDdbD5araYcm6JhFHHw7;81
Mac Demarco;3Sz7ZnJQBIHsXLUSo0OQtM;81
Marca Registrada;33z3dodBumcusMi3hfmzyR;81
Meghan Trainor;6JL8zeS1NmiOftqZTRgdTz;81
Nicky Jam;1SupJlEpv7RS2tPNRaHViT;81
Pharrell Williams;2RdwBSPQiwcmiDo9kixcl8;81
Pink Floyd;0k17h0D3J5VfsdmQ1iZtE9;81
Quavo;0VRj0yCOv2FXJNP47XQnx5;81
Sean Paul;3Isy6kedDrgPYoTS1dazA9;81
Sebastian Yatra;07YUOmWljBTXwIseAUd9TW;81
