name;id;popularity;embedding
Taylor Swift;06HL4z0CvFAxyc27GXpf02;100;"[ 1.8480506   0.90805453  0.02780375 -0.61643463 -2.2152627  -1.9666883
 -2.279365   -1.2532389  -1.8001473   0.6149041  -0.76591897  0.14943272
  1.066531    1.8698355  -0.66528594 -2.6727285 ]"
Bad Bunny;4q3ewBCX7sLwd24euuV69X;97;"[-0.91706514 -0.30938318  3.1090455  -0.57538646 -1.0106276  -0.567313
  5.594125    2.223359   -0.25868127  1.867008    1.4557352  -2.1258187
  2.542843   -3.0207126  -2.7501884   1.788153  ]"
Drake;3TVXtAsR1Inumwj472S9r4;97;"[-1.9023609  -1.78571     0.98643005 -1.0858682  -2.352996   -4.072664
 -1.2552845  -0.2985726   0.77656394 -0.8780312   0.21115991  0.17522217
 -0.20269208  2.0065465  -1.3306868  -2.0457928 ]"
The Weeknd;1Xyo4u8uXC1ZmMpatF05PJ;97;"[-1.2990806  -1.4351362   0.78484225 -0.79031396 -2.497546   -2.637142
 -0.9321018  -0.72496426  0.7671336  -0.52470267 -0.01645075  0.57500136
 -0.15536126  2.6079028  -1.5240804  -1.8800082 ]"
Feid;2LRoIwlKmHjgvigdNGBHNo;93;"[-0.4485281   0.18791127  2.6396353  -0.5089881  -0.06221386  0.17250037
  4.232581    1.0196704  -0.40950146  1.6842813   0.5192799  -1.4683709
  1.4801877  -2.256844   -1.2414309   1.6319213 ]"
21 Savage;1URnnhqYAYcrqrcwql10ft;92;"[-2.8701296  -2.3565133   1.0005715  -1.2626201  -2.709362   -4.811071
 -1.7866026   1.3759689   2.2002974  -3.906926    1.8574533  -0.7005418
  1.1607499   0.82986486 -2.470349   -2.2603047 ]"
Eminem;7dGJo4pcD2V6oG8kP0tJRR;92;"[-1.5209743  -0.38668594  0.22145207 -1.1811402   0.1380948  -4.3561
 -2.4538162  -0.74691325 -0.34899706 -0.00860889  1.0537645  -0.1333895
 -0.5490664   2.8231854  -0.44071844 -1.2375634 ]"
Karol G;790FomKkXshlbRYZFtlgla;92;"[-0.16073865  0.5426931   3.1862779   0.00974607 -0.8137325   0.35228902
  5.2263803   1.6098896  -0.49515986  1.7571424   1.4114661  -1.5965447
  1.812451   -3.1507638  -2.311428    1.6221783 ]"
Morgan Wallen;4oUHIQIBe0LHzYfvXNW4QM;92;"[ 4.0417514   4.8603983  -0.58332586  1.0575682  -1.1292611  -1.0975307
 -1.5763983  -1.3181881  -0.1306146  -0.8637772   0.2860073   1.1134341
 -0.956215   -2.074657   -1.4854137  -0.71121854]"
SZA;7tYKF4w9nC0nq9CsPZTHyP;92;"[-0.55126953 -3.9704034  -0.78342265 -0.59619397 -3.754202   -1.9438179
  1.1298265   0.62072045  1.4893067  -2.3661666  -0.22543593 -0.9026265
 -0.5286679   0.33266705 -1.0881237  -1.3898416 ]"
Ariana Grande;66CXWjxzNUsdJxJ2JdwvnR;91;"[-1.1067497  -0.34917873  1.5647842  -0.6276872  -2.0272183  -1.9239633
 -0.35358676 -1.6657091  -0.72665656  0.6770739  -0.8347332   0.64049095
  0.53418094  2.3238425   0.211795   -3.2539573 ]"
BTS;3Nrfpe0tUJi4K4DXYWgMUX;91;"[ 0.7190634   0.1645403  -0.40464064  4.0577617   0.5949481   0.5996731
  4.214314    2.0074797   0.00990131 -0.40190336  0.7840065  -0.78851944
  1.5894357  -1.3297206  -0.3275143  -4.031056  ]"
Ed Sheeran;6eUKZXaKkcviH0Ku9w2n3V;91;"[ 0.9350181  -0.85558164  1.5342815  -0.35489053 -2.2457852  -0.9617829
 -1.8499815  -0.48134798 -0.14931338  1.1665142  -0.43464464 -0.03351445
  1.0371052   1.8259004   0.38867712 -2.2072752 ]"
Kanye West;5K4W6rqBFWDnAN6FQUkS6x;91;"[-2.2916021  -1.6798953   0.20671402 -1.8660904  -1.4821844  -4.312782
 -1.7669268  -0.5884598   0.45477527 -0.8049747   0.2633482   0.34456113
 -0.6312565   2.150941   -1.2987918  -1.600253  ]"
Lana Del Rey;00FQb4jTyendYWaN8pK0wa;91;"[ 0.6435605  -2.2587347   0.4201576  -0.38584414 -1.0256441   0.14377296
 -1.1536958  -0.39817876 -0.46342006  0.99419105 -1.3219892  -0.5557337
 -0.1352212   2.2797492  -0.6414223  -1.2785928 ]"
