;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;name;id;popularity;titles;lyrics
0;0;0;0;Taylor Swift;06HL4z0CvFAxyc27GXpf02;100;;
1;1;1;1;Bad Bunny;4q3ewBCX7sLwd24euuV69X;97;;
2;2;2;2;Drake;3TVXtAsR1Inumwj472S9r4;97;;
3;3;3;3;The Weeknd;1Xyo4u8uXC1ZmMpatF05PJ;97;;
4;4;4;4;Feid;2LRoIwlKmHjgvigdNGBHNo;93;;
5;5;5;5;21 Savage;1URnnhqYAYcrqrcwql10ft;92;;
6;6;6;6;Eminem;7dGJo4pcD2V6oG8kP0tJRR;92;;
7;7;7;7;Karol G;790FomKkXshlbRYZFtlgla;92;;
8;8;8;8;Morgan Wallen;4oUHIQIBe0LHzYfvXNW4QM;92;;
9;9;9;9;SZA;7tYKF4w9nC0nq9CsPZTHyP;92;;
10;10;10;10;Ariana Grande;66CXWjxzNUsdJxJ2JdwvnR;91;;
11;11;11;11;BTS;3Nrfpe0tUJi4K4DXYWgMUX;91;;
12;12;12;12;Ed Sheeran;6eUKZXaKkcviH0Ku9w2n3V;91;;
13;13;13;13;Kanye West;5K4W6rqBFWDnAN6FQUkS6x;91;;
14;14;14;14;Lana Del Rey;00FQb4jTyendYWaN8pK0wa;91;;
15;15;15;15;Rihanna;5pKCCKE2ajJHZ9KAiaK11H;91;;
16;16;16;16;Shakira;0EmeFodog0BfCgMzAIvKQp;91;;
17;17;17;17;Future;1RyvyyTE3xzB2ZywiAwp0i;90;;
18;18;18;18;Justin Bieber;1uNFoZAHBGtllmzznpCI3s;90;;
19;19;19;19;Metro Boomin;0iEtIxbK0KxaSlF7G42ZOp;90;;
20;20;20;20;Miley Cyrus;5YGY8feqx7naU7z4HrwZM6;90;;
21;21;21;21;Rauw Alejandro;1mcTU81TzQhprhouKaTkpq;90;;
22;22;22;22;Travis Scott;0Y5tJX1MQlPlqiwlOH1tJY;90;;
23;23;23;23;Anuel Aa;2R21vXR83lH98kGeO99Y66;89;;
24;24;24;24;Arijit Singh;4YRxDV8wJFPHPTeXepOstw;89;;
25;25;25;25;Billie Eilish;6qqNVTkY8uBg9cP3Jd7DAH;89;;
26;26;26;26;Coldplay;4gzpq5DPGxSnKTe4SA8HAU;89;;
27;27;27;27;David Guetta;1Cs0zKBU1kc0i8ypK3B9ai;89;;
28;28;28;28;Harry Styles;6KImCVD70vtIoJWnq6nGn3;89;;
29;29;29;29;Imagine Dragons;53XhwfbYqKCa1cC15pYq2q;89;;
30;30;30;30;Kendrick Lamar;2YZyLoL8N0Wb9xBt1NhZWg;89;;
31;31;31;31;Lil Baby;5f7VJjfbwm532GiveGC0ZK;89;;
32;32;32;32;Ozuna;1i8SpTcr7yvPOmcqrbnVXY;89;;
33;33;33;33;Post Malone;246dkjvS1zLTtiykXe5h60;89;;
34;34;34;34;Tyler, The Creator;4V8LLVI7PbaPR0K2TGSxFF;89;;
35;35;35;35;Bruno Mars;0du5cEVh5yTK9QJze8zA0C;88;;
36;36;36;36;Chris Brown;7bXgB6jMjp9ATFy66eO08Z;88;;
37;37;37;37;Daddy Yankee;4VMYDCV2IEDYJArk749S6m;88;;
38;38;38;38;Dua Lipa;6M2wZ9GZgrQXHCFfjv46we;88;;
39;39;39;39;Myke Towers;7iK8PXO48WeuP03g8YR51W;88;;
40;40;40;40;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;87;;
41;41;41;41;Beyoncé;6vWDO969PvNqNYHIOW5v0m;87;;
42;42;42;42;Calvin Harris;7CajNmpbOovFoOoasH2HaY;87;;
43;43;43;43;Doja Cat;5cj0lLjcoR7YOSnhnX0Po5;87;;
44;44;44;44;Eladio Carrion;5XJDexmWFLWOkjOEjOVX3e;87;;
45;45;45;45;J Balvin;1vyhD5VmyZ7KMfW5gqLgo5;87;;
46;46;46;46;J. Cole;6l3HvQ5sa6mXTsMTB19rO5;87;;
47;47;47;47;Lil Uzi Vert;4O15NlyKLIASxsJ0PrXPfz;87;;
48;48;48;48;Linkin Park;6XyY86QOPPrYVGvF9ch6wz;87;;
49;49;49;49;Nicki Minaj;0hCNtLu0JehylgoiP8L4Gh;87;;
50;50;50;50;Pritam;1wRPtKGflJrBx9BmLsSwlU;87;;
51;51;51;51;ROSALÍA;7ltDVBr6mKbRvohxheJ9h1;87;;
52;52;52;52;Sam Smith;2wY79sveU1sp5g7SokKOiI;87;;
53;53;53;53;XXXTENTACION;15UsOTVnJzReFVN1VCnxy4;87;;
54;54;54;54;$uicideBoy$;1VPmR4DJC1PlOtd0IADAO0;86;;
55;55;55;55;Adele;4dpARuHxo51G3z768sgnrY;86;;
56;56;56;56;Arcangel;4SsVbpTthjScTS7U2hmr1X;86;;
57;57;57;57;BLACKPINK;41MozSoPIsD1dJM0CLPjZF;86;;
58;58;58;58;Kali Uchis;1U1el3k54VvEUzo3ybLPlM;86;;
59;59;59;59;Khalid;6LuN9FCkKOj5PcnpouEgny;86;;
60;60;60;60;Lady Gaga;1HY2Jd0NmPuamShAr6KMms;86;;
61;61;61;61;Lil Wayne;55Aa2cqylxrFIXC767Z865;86;;
62;62;62;62;Luke Combs;718COspgdWOnwOFpJHRZHS;86;;
63;63;63;63;Maroon 5;04gDigrS5kc9YWfZHwBETP;86;;
64;64;64;64;Melanie Martinez;63yrD80RY3RNEM2YDpUpO8;86;;
65;65;65;65;One Direction;4AK6F7OLvEQ5QYCBNiQWHq;86;;
66;66;66;66;Selena Gomez;0C8ZW7ezQVs4URX5aX7Kqx;86;;
67;67;67;67;Frank Ocean;2h93pZq0e7k5yf4dywlkpM;85;;
68;68;68;68;JAY Z;3nFkdlSjzX9mRTtwJOzDYB;85;;
69;69;69;69;Katy Perry;6jJ0s89eD6GaHleKKya26X;85;;
70;70;70;70;Maluma;1r4hJ1h58CWwUQe3MxPuau;85;;
71;71;71;71;Manuel Turizo;0tmwSHipWxN12fsoLcFU3B;85;;
72;72;72;72;NF;6fOMl44jA4Sp5b9PpYCkzz;85;;
73;73;73;73;Queen;1dfeR4HaWDbWqFHLkxsg1d;85;;
74;74;74;74;Sia;5WUlDfRSoLAfcVSX1WnrxN;85;;
75;75;75;75;The Beatles;3WrFJ7ztbogyGnTHbHJFl2;85;;
76;76;76;76;Tiësto;2o5jDhtHVPhrJdv3cEQ99Z;85;;
77;77;77;77;Young Thug;50co4Is1HCEo8bhOyUWKpn;85;;
78;78;78;78;50 Cent;3q7HBObVc0L8jNeTe5Gofh;84;;
79;79;79;79;Duki;1bAftSH8umNcGZ0uyV7LMg;84;;
80;80;80;80;Elton John;3PhoLpVuITZKcymswpck5b;84;;
81;81;81;81;Farruko;329e4yvIujISKGKz1BZZbO;84;;
82;82;82;82;Gunna;2hlmm7s2ICUX0LVIhVFlZQ;84;;
83;83;83;83;Lil Peep;2kCcBybjl3SAtIcwdWpUe3;84;;
84;84;84;84;Mac Miller;4LLpKhyESsyAXpc4laK94U;84;;
85;85;85;85;Marshmello;64KEffDW9EtZ1y2vBYgq8T;84;;
86;86;86;86;Metallica;2ye2Wgw4gimLv2eAKyk1NB;84;;
87;87;87;87;NBA Youngboy;5nit4tEonTB3KHl6hWp1OP;84;;
88;88;88;88;Olivia Rodrigo;1McMsnEElThX1knmY4oliG;84;;
89;89;89;89;OneRepublic;5Pwc4xIPtQLFEnJriah9YJ;84;;
90;90;90;90;Romeo Santos;5lwmRuXgjX8xIwlnauTZIP;84;;
91;91;91;91;Shawn Mendes;7n2wHs1TKAczGzO7Dd2rGr;84;;
92;92;92;92;Snoop Dogg;7hJcb9fa4alzcOq3EaNPoG;84;;
93;93;93;93;The Neighbourhood;77SW9BnxLY8rJ0RciFqkHh;84;;
94;94;94;94;YoungBoy Never Broke Again;7wlFDEWiM5OoIAt8RSli8b;84;;
95;95;95;95;A$AP Rocky;13ubrt8QOOCPljQ2FL1Kca;83;;
96;96;96;96;Anirudh Ravichander;4zCH9qm4R2DADamUHMCa6O;83;;
97;97;97;97;Bebe Rexha;64M6ah0SkkRsnPGtGiRAbb;83;;
98;98;98;98;Brent Faiyaz;3tlXnStJ1fFhdScmQeLpuG;83;;
99;99;99;99;Charlie Puth;6VuMaDnrHyPL1p4EHjYLi7;83;;
100;100;100;100;Gorillaz;3AA28KZvwAUcZuOKwyblJQ;83;;
101;101;101;101;Halsey;26VFTg2z8YR0cCuwLzESi2;83;;
102;102;102;102;Joji;3MZsBdqDrRTJihTHQrO6Dq;83;;
103;103;103;103;Lewis Capaldi;4GNC7GD6oZMSxPGyXy4MNB;83;;
104;104;104;104;Lil Durk;3hcs9uc56yIGFCSy9leWe7;83;;
105;105;105;105;Luis Miguel;2nszmSgqreHSdJA3zWPyrW;83;;
106;106;106;106;Marília Mendonça;1yR65psqiazQpeM79CcGh8;83;;
107;107;107;107;Michael Jackson;3fMbdgg4jU18AjLCKBhRSm;83;;
108;108;108;108;Morat;5C4PDR4LnhZTbVnKWXuDKD;83;;
109;109;109;109;P!nk;1KCSPY1glIKqW2TotWuXOR;83;;
110;110;110;110;Pitbull;0TnOYISbd1XYRBk9myaseg;83;;
111;111;111;111;Playboi Carti;699OTQXzgjhIYAHMy9RyPD;83;;
112;112;112;112;Red Hot Chili Peppers;0L8ExT028jH3ddEcZwqJJ5;83;;
113;113;113;113;TINI;7vXDAI8JwjW531ouMGbfcp;83;;
114;114;114;114;Trippie Redd;6Xgp2XMz1fhVYe7i6yNAax;83;;
115;115;115;115;TWICE;7n2Ycct7Beij7Dj7meI4X0;83;;
116;116;116;116;Wiz Khalifa;137W8MRPWKqSmrBGDBFSop;83;;
117;117;117;117;A Boogie Wit da Hoodie;31W5EY0aAly4Qieq6OFu6I;82;;
118;118;118;118;AC/DC;711MCceyCBcFnzjGY4Q7Un;82;;
119;119;119;119;Avicii;1vCWHaC5f2uS3yhpwWbIA6;82;;
120;120;120;120;Camila Cabello;4nDoRrQiYLoBzwC5BhVJzF;82;;
121;121;121;121;Christian Nodal;0XwVARXT135rw8lyw1EeWP;82;;
122;122;122;122;Cigarettes After Sex;1QAJqy2dA3ihHBFIHRphZj;82;;
123;123;123;123;DaBaby;4r63FhuTkUYltbVAg5TQnk;82;;
124;124;124;124;Daft Punk;4tZwfgrHOc3mvqYlEYSvVi;82;;
125;125;125;125;Daniel Caesar;20wkVLutqVOYrc0kxFs7rA;82;;
126;126;126;126;Don Omar;33ScadVnbm2X8kkUqOkC6Z;82;;
127;127;127;127;Ellie Goulding;0X2BH1fck6amBIoJhDVmmJ;82;;
128;128;128;128;Fleetwood Mac;08GQAI4eElDnROBrJRGE0X;82;;
129;129;129;129;Henrique & Juliano;3p7PcrEHaaKLJnPUGOtRlT;82;;
130;130;130;130;Jorge & Mateus;1elUiq4X7pxej6FRlrEzjM;82;;
131;131;131;131;Kodak Black;46SHBwWsqBkxI7EeeBEQG7;82;;
132;132;132;132;Miguel;360IAlyVv4PCEVjgyMZrxK;82;;
133;133;133;133;Nengo Flow;12vb80Km0Ew53ABfJOepVz;82;;
