name;id;popularity;genres
Taylor Swift;06HL4z0CvFAxyc27GXpf02;100;pop
Bad Bunny;4q3ewBCX7sLwd24euuV69X;97;baile latino
Drake;3TVXtAsR1Inumwj472S9r4;97;rap
The Weeknd;1Xyo4u8uXC1ZmMpatF05PJ;97;r&b
Feid;2LRoIwlKmHjgvigdNGBHNo;93;baile latino
21 Savage;1URnnhqYAYcrqrcwql10ft;92;rap
Eminem;7dGJo4pcD2V6oG8kP0tJRR;92;rap
Karol G;790FomKkXshlbRYZFtlgla;92;baile latino
Morgan Wallen;4oUHIQIBe0LHzYfvXNW4QM;92;country
SZA;7tYKF4w9nC0nq9CsPZTHyP;92;rap
Ariana Grande;66CXWjxzNUsdJxJ2JdwvnR;91;pop
BTS;3Nrfpe0tUJi4K4DXYWgMUX;91;pop
Ed Sheeran;6eUKZXaKkcviH0Ku9w2n3V;91;pop
Kanye West;5K4W6rqBFWDnAN6FQUkS6x;91;rap
Lana Del Rey;00FQb4jTyendYWaN8pK0wa;91;pop
Rihanna;5pKCCKE2ajJHZ9KAiaK11H;91;pop
Shakira;0EmeFodog0BfCgMzAIvKQp;91;pop
Future;1RyvyyTE3xzB2ZywiAwp0i;90;rap
Justin Bieber;1uNFoZAHBGtllmzznpCI3s;90;pop
Metro Boomin;0iEtIxbK0KxaSlF7G42ZOp;90;rap
Miley Cyrus;5YGY8feqx7naU7z4HrwZM6;90;pop
Rauw Alejandro;1mcTU81TzQhprhouKaTkpq;90;baile latino
Travis Scott;0Y5tJX1MQlPlqiwlOH1tJY;90;rap
Anuel Aa;2R21vXR83lH98kGeO99Y66;89;baile latino
Arijit Singh;4YRxDV8wJFPHPTeXepOstw;89;filmi
Billie Eilish;6qqNVTkY8uBg9cP3Jd7DAH;89;pop
Coldplay;4gzpq5DPGxSnKTe4SA8HAU;89;pop
David Guetta;1Cs0zKBU1kc0i8ypK3B9ai;89;edm
Harry Styles;6KImCVD70vtIoJWnq6nGn3;89;pop
Imagine Dragons;53XhwfbYqKCa1cC15pYq2q;89;rock
Kendrick Lamar;2YZyLoL8N0Wb9xBt1NhZWg;89;rap
Lil Baby;5f7VJjfbwm532GiveGC0ZK;89;rap
Ozuna;1i8SpTcr7yvPOmcqrbnVXY;89;baile latino
Post Malone;246dkjvS1zLTtiykXe5h60;89;rap
Tyler, The Creator;4V8LLVI7PbaPR0K2TGSxFF;89;rap
Bruno Mars;0du5cEVh5yTK9QJze8zA0C;88;pop
Chris Brown;7bXgB6jMjp9ATFy66eO08Z;88;rap
Daddy Yankee;4VMYDCV2IEDYJArk749S6m;88;baile latino
Dua Lipa;6M2wZ9GZgrQXHCFfjv46we;88;pop
Myke Towers;7iK8PXO48WeuP03g8YR51W;88;baile latino
Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;87;rock
Beyoncé;6vWDO969PvNqNYHIOW5v0m;87;r&b
Calvin Harris;7CajNmpbOovFoOoasH2HaY;87;edm
Doja Cat;5cj0lLjcoR7YOSnhnX0Po5;87;pop
Eladio Carrion;5XJDexmWFLWOkjOEjOVX3e;87;rap
J Balvin;1vyhD5VmyZ7KMfW5gqLgo5;87;baile latino
J. Cole;6l3HvQ5sa6mXTsMTB19rO5;87;rap
Lil Uzi Vert;4O15NlyKLIASxsJ0PrXPfz;87;rap
Linkin Park;6XyY86QOPPrYVGvF9ch6wz;87;metal
Nicki Minaj;0hCNtLu0JehylgoiP8L4Gh;87;rap
Pritam;1wRPtKGflJrBx9BmLsSwlU;87;filmi
ROSALÍA;7ltDVBr6mKbRvohxheJ9h1;87;r&b
Sam Smith;2wY79sveU1sp5g7SokKOiI;87;pop
XXXTENTACION;15UsOTVnJzReFVN1VCnxy4;87;rap
$uicideBoy$;1VPmR4DJC1PlOtd0IADAO0;86;rap
Adele;4dpARuHxo51G3z768sgnrY;86;soul
Arcangel;4SsVbpTthjScTS7U2hmr1X;86;baile latino
BLACKPINK;41MozSoPIsD1dJM0CLPjZF;86;pop
Kali Uchis;1U1el3k54VvEUzo3ybLPlM;86;pop
Khalid;6LuN9FCkKOj5PcnpouEgny;86;r&b
Lady Gaga;1HY2Jd0NmPuamShAr6KMms;86;pop
Lil Wayne;55Aa2cqylxrFIXC767Z865;86;rap
Luke Combs;718COspgdWOnwOFpJHRZHS;86;country
Maroon 5;04gDigrS5kc9YWfZHwBETP;86;pop
Melanie Martinez;63yrD80RY3RNEM2YDpUpO8;86;pop
One Direction;4AK6F7OLvEQ5QYCBNiQWHq;86;pop
Selena Gomez;0C8ZW7ezQVs4URX5aX7Kqx;86;pop
Frank Ocean;2h93pZq0e7k5yf4dywlkpM;85;hip-hop
JAY Z;3nFkdlSjzX9mRTtwJOzDYB;85;rap
Katy Perry;6jJ0s89eD6GaHleKKya26X;85;pop
Maluma;1r4hJ1h58CWwUQe3MxPuau;85;baile latino
Manuel Turizo;0tmwSHipWxN12fsoLcFU3B;85;baile latino
NF;6fOMl44jA4Sp5b9PpYCkzz;85;rap
Queen;1dfeR4HaWDbWqFHLkxsg1d;85;rock
Sia;5WUlDfRSoLAfcVSX1WnrxN;85;pop
The Beatles;3WrFJ7ztbogyGnTHbHJFl2;85;rock
Tiësto;2o5jDhtHVPhrJdv3cEQ99Z;85;edm
Young Thug;50co4Is1HCEo8bhOyUWKpn;85;rap
50 Cent;3q7HBObVc0L8jNeTe5Gofh;84;rap
Duki;1bAftSH8umNcGZ0uyV7LMg;84;rap
Elton John;3PhoLpVuITZKcymswpck5b;84;rock
Farruko;329e4yvIujISKGKz1BZZbO;84;baile latino
Gunna;2hlmm7s2ICUX0LVIhVFlZQ;84;rap
Lil Peep;2kCcBybjl3SAtIcwdWpUe3;84;rap
Mac Miller;4LLpKhyESsyAXpc4laK94U;84;rap
Marshmello;64KEffDW9EtZ1y2vBYgq8T;84;edm
Metallica;2ye2Wgw4gimLv2eAKyk1NB;84;metal
NBA Youngboy;5nit4tEonTB3KHl6hWp1OP;84;rap
Olivia Rodrigo;1McMsnEElThX1knmY4oliG;84;pop
OneRepublic;5Pwc4xIPtQLFEnJriah9YJ;84;rock
Romeo Santos;5lwmRuXgjX8xIwlnauTZIP;84;baile latino
Shawn Mendes;7n2wHs1TKAczGzO7Dd2rGr;84;pop
Snoop Dogg;7hJcb9fa4alzcOq3EaNPoG;84;rap
The Neighbourhood;77SW9BnxLY8rJ0RciFqkHh;84;rock
YoungBoy Never Broke Again;7wlFDEWiM5OoIAt8RSli8b;84;rap
A$AP Rocky;13ubrt8QOOCPljQ2FL1Kca;83;rap
Anirudh Ravichander;4zCH9qm4R2DADamUHMCa6O;83;filmi
Bebe Rexha;64M6ah0SkkRsnPGtGiRAbb;83;pop
Brent Faiyaz;3tlXnStJ1fFhdScmQeLpuG;83;rap
Charlie Puth;6VuMaDnrHyPL1p4EHjYLi7;83;pop
Gorillaz;3AA28KZvwAUcZuOKwyblJQ;83;hip-hop
Halsey;26VFTg2z8YR0cCuwLzESi2;83;pop
Joji;3MZsBdqDrRTJihTHQrO6Dq;83;pop
Lewis Capaldi;4GNC7GD6oZMSxPGyXy4MNB;83;pop
Lil Durk;3hcs9uc56yIGFCSy9leWe7;83;rap
Luis Miguel;2nszmSgqreHSdJA3zWPyrW;83;pop
Marília Mendonça;1yR65psqiazQpeM79CcGh8;83;brazilian
Michael Jackson;3fMbdgg4jU18AjLCKBhRSm;83;r&b
Morat;5C4PDR4LnhZTbVnKWXuDKD;83;pop
P!nk;1KCSPY1glIKqW2TotWuXOR;83;pop
Pitbull;0TnOYISbd1XYRBk9myaseg;83;hip-hop
Playboi Carti;699OTQXzgjhIYAHMy9RyPD;83;rap
Red Hot Chili Peppers;0L8ExT028jH3ddEcZwqJJ5;83;metal
TINI;7vXDAI8JwjW531ouMGbfcp;83;pop
Trippie Redd;6Xgp2XMz1fhVYe7i6yNAax;83;rap
TWICE;7n2Ycct7Beij7Dj7meI4X0;83;pop
Wiz Khalifa;137W8MRPWKqSmrBGDBFSop;83;rap
A Boogie Wit da Hoodie;31W5EY0aAly4Qieq6OFu6I;82;rap
AC/DC;711MCceyCBcFnzjGY4Q7Un;82;rock
Avicii;1vCWHaC5f2uS3yhpwWbIA6;82;edm
